name,index,site,url,warm_time,temperature
cores2,0,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,718,39.000000
cores2,1,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,705,39.000000
cores2,2,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,709,41.000000
cores2,3,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,728,42.000000
cores2,4,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,749,42.000000
cores2,5,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,727,43.000000
cores2,6,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,776,44.000000
cores2,7,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,674,43.000000
cores2,8,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,726,45.000000
cores2,9,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,699,45.000000
cores2,10,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,715,45.000000
cores2,11,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,739,45.000000
cores2,12,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,653,45.000000
cores2,13,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,740,46.000000
cores2,14,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,749,45.000000
cores2,15,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,710,45.000000
cores2,16,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,719,46.000000
cores2,17,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,728,46.000000
cores2,18,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,742,45.000000
cores2,19,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,715,46.000000
cores2,20,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,748,46.000000
cores2,21,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,745,46.000000
cores2,22,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,693,48.000000
cores2,23,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,704,46.000000
cores2,24,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,698,48.000000
cores2,25,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,729,46.000000
cores2,26,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,703,46.000000
cores2,27,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,691,48.000000
cores2,28,taobao,http___m.taobao.com_channel_act_mobile_20131111-women.html,683,48.000000
cores2,0,yahoo,http___search.yahoo.com_search;_ylt_?p_google,768,38.000000
cores2,1,yahoo,http___search.yahoo.com_search;_ylt_?p_google,782,39.000000
cores2,2,yahoo,http___search.yahoo.com_search;_ylt_?p_google,708,41.000000
cores2,3,yahoo,http___search.yahoo.com_search;_ylt_?p_google,762,42.000000
cores2,4,yahoo,http___search.yahoo.com_search;_ylt_?p_google,723,43.000000
cores2,5,yahoo,http___search.yahoo.com_search;_ylt_?p_google,707,43.000000
cores2,6,yahoo,http___search.yahoo.com_search;_ylt_?p_google,791,44.000000
cores2,7,yahoo,http___search.yahoo.com_search;_ylt_?p_google,703,44.000000
cores2,8,yahoo,http___search.yahoo.com_search;_ylt_?p_google,723,43.000000
cores2,9,yahoo,http___search.yahoo.com_search;_ylt_?p_google,880,45.000000
cores2,10,yahoo,http___search.yahoo.com_search;_ylt_?p_google,936,45.000000
cores2,11,yahoo,http___search.yahoo.com_search;_ylt_?p_google,713,45.000000
cores2,12,yahoo,http___search.yahoo.com_search;_ylt_?p_google,717,45.000000
